id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-INV-DEYE-1200W","Microinversor Deye SUN-M120G4-EU-Q0 1200W 220V 4 painéis","Deye","120G4-EU-Q0","inverters","1399","1.2","120","220","","","/images/placeholder-inverter.jpg","","true","Microinversor Deye SUN-M120G4-EU-Q0 1200W 220V 4 painéis","","5"
"odex_inverters_ODEX-INV-DEYE-2400W","Microinversor Deye SUN-2400G3-EU-Q0 2400W 220V 8 painéis","Deye","3-EU-Q0","inverters","2499","2.4","2400","220","","","/images/placeholder-inverter.jpg","","true","Microinversor Deye SUN-2400G3-EU-Q0 2400W 220V 8 painéis","","5"
"odex_inverters_ODEX-INV-GROWATT-3000W-1","Inversor Híbrido Growatt SPH 3000 3kW Monofásico 220V 48V 2 MPPT","Growatt","3KW","inverters","3299","3","3000","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Growatt SPH 3000 3kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-4000W","Inversor Híbrido Growatt SPH 4000 4kW Monofásico 220V 48V 2 MPPT","Growatt","4KW","inverters","3899","4","4000","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Growatt SPH 4000 4kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-5000W","Inversor Híbrido Growatt SPH 5000 5kW Monofásico 220V 48V 2 MPPT","Growatt","5KW","inverters","4499","5","5000","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Growatt SPH 5000 5kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-6000W-1","Inversor Híbrido Growatt SPH 6000 6kW Monofásico 220V 48V 2 MPPT","Growatt","6KW","inverters","4999","6","6000","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Growatt SPH 6000 6kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-8000W-1","Inversor Híbrido Growatt SPH 8000 8kW Monofásico 220V 48V 2 MPPT","Growatt","8KW","inverters","5999","8","8000","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Growatt SPH 8000 8kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-GROWATT-10000W-1","Inversor Híbrido Growatt SPH 10000 10kW Trifásico 380V 51.2V 2 MPPT","Growatt","10KW","inverters","7499","10","10000","380","","images\FOTUS-KITS\FOTUS-KP02-710kWp-Ceramico-kits.jpg","images\FOTUS-KITS\FOTUS-KP02-710kWp-Ceramico-kits.jpg","","true","Inversor Híbrido Growatt SPH 10000 10kW Trifásico 380V 51.2V 2 MPPT","high","7"
"odex_inverters_ODEX-INV-DEYE-5000W","Inversor Híbrido Deye SUN-5K-SG05LP1-EU 5kW Monofásico 220V 48V 2 MPPT","Deye","SG05LP1-EU","inverters","4299","5","5","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Deye SUN-5K-SG05LP1-EU 5kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-DEYE-6000W","Inversor Híbrido Deye SUN-6K-SG05LP1-EU 6kW Monofásico 220V 48V 2 MPPT","Deye","SG05LP1-EU","inverters","4799","6","6","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Deye SUN-6K-SG05LP1-EU 6kW Monofásico 220V 48V 2 MPPT","","7"
