MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiButtonBase-root 3,MuiTypography-root 4,notranslate
https://portalb2b.neosolar.com.br/novo-pedido/produto/20259,https://portal.zydon.com.br/api/files/f3c22fb8-b867-4f0a-bc76-5d07e3a2fb23/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP3000-22 (T-BR) - 3000W 24/220V,"Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","Inversor Epever Ipower Plus de 24Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.",Indisponível,"R$ 1.190,60",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20260,https://portal.zydon.com.br/api/files/9423dda0-f312-4174-b3cd-3e113acd61a5/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP3000-41 (T-BR) - 3000W 48/127V,"Inversor Epever Ipower Plus de 48Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 127Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.",Indisponível,"R$ 1.362,52",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20261,https://portal.zydon.com.br/api/files/3f5b6b25-0a5a-4ffe-9d58-bd2018408f60/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP3000-42 (T-BR) - 3000W 48/220V,"Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 3000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.",Indisponível,"R$ 1.102,87",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20262,https://portal.zydon.com.br/api/files/fea18edc-c579-49cd-af02-ace6cc385194/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP4000-41 (T-BR) - 4000W 48/110V,"Inversor Epever Ipower Plus de 48Vcc para 110Vca com potência contínua de 4000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 110Vca com potência contínua de 4000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.",Indisponível,"R$ 1.579,77",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20264,https://portal.zydon.com.br/api/files/0c726e07-ef7f-4bbd-a34b-f3f62b5e4a21/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Senoidal Epever IPower Plus IP5000-42 (T-BR) - 5000W 48/220V,"Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 5000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","Inversor Epever Ipower Plus de 48Vcc para 220Vca com potência contínua de 5000W e formato de onda do tipo senoidal pura. Indicado para uso com baterias de chumbo-ácido em geral (incompatível com baterias de lítio com proteção Via BMS). Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.",Indisponível,"R$ 1.557,26",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20265,https://portal.zydon.com.br/api/files/c6b05663-30fa-4e61-bb8c-839e406cb59e/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Híbrido Epever UPower-Hi UP2000 - 60A MPPT - 24/110V,"Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido ou lítio e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.","Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido ou lítio e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.",Indisponível,"R$ 2.443,24",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20266,https://portal.zydon.com.br/api/files/cb9aa8cb-68ee-4cd3-a926-f409a8838c1e/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Híbrido Epever UPower-Hi UP3000 - 50A MPPT - 48/220V,---,,Indisponível,"R$ 2.662,20",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20267,https://portal.zydon.com.br/api/files/ca292c44-59b7-4bed-85d7-28ab90918868/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Híbrido Epever UPower-Hi UP3000 - 50A MPPT - 48/220V,"Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido ou lítio e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.","Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido ou lítio e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.",Indisponível,"R$ 2.610,51",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20268,https://portal.zydon.com.br/api/files/09474e7c-1d05-456c-8be1-cf225223d0e2/content?ingress=portalb2b.neosolar.com.br,Inversor Off Grid Híbrido Epever UPower-Hi UP3000 - 80A MPPT - 48/110V,"Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.","Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.",Indisponível,"R$ 2.822,88",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20269,https://portal.zydon.com.br/api/files/2f34b502-d660-4d11-9435-2da192fa46b0/content?ingress=portalb2b.neosolar.com.br,Inversor-Carregador Off Grid (Híbrido) Epever UPower-Hi UP5000 - 80A MPPT - 48/220V,"Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido ou lítio e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.","Nova série de inversores Epever HI com tripla função (Inversor + Controlador de Carga + Carregador CA), que opera com ou sem bateria e possibilita aplicações completamente novas. O equipamento opera com baterias de chumbo-ácido ou lítio e traz alta tecnologia que facilita a instalação e reduz o custo total dos sistemas.",Indisponível,"R$ 3.152,74",
