card-title,img-content-orders src,fw-semibold,text-orders-price
IIN00365,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985c/IIN00365.png,HUAWEI  HIBRIDO 5KW - 220V - 2 MPPT - AFCI (SUN2000-5KTL-L1),"R$ 4.414,16"
IIN00364,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985b/IIN00364.png,HUAWEI  HIBRIDO 3KW - 220V - 2 MPPT - AFCI (SUN2000-3KTL-L1),"R$ 3.294,26"
IIN00350,https://prod-platform-api.s3.amazonaws.com/components/68500752d2d60d325a684b95/IIN00350.png,SOLIS ON-GRID 9KW - 220V - 3 MPPT - AFCI (S6-GR1P9K03-NV-ND),"R$ 7.377,47"
IIN00348,https://prod-platform-api.s3.amazonaws.com/components/68402e4a01caf92f5b9b739d/IIN00348.png,SUNGROW ON-GRID 7.5KW - 220V - 2 MPPT - AFCI (SG7.5RS-L),"R$ 7.016,01"
IIN00352,https://prod-platform-api.s3.amazonaws.com/components/682e22bca14a42eee678f83a/IIN00352.png,MICROINVERSOR FOXESS Q1-2400-E - 2400W - 220V,"R$ 2.149,77"
IIN00349,https://prod-platform-api.s3.amazonaws.com/components/68275a028d3cd4ac4215d6cf/IIN00349.png,MICROINVERSOR NEP BDM-2250 COM WIFI E CABO TRONCO,"R$ 2.241,12"
IIN00327,https://prod-platform-api.s3.amazonaws.com/components/68232d495b841b183f6d54de/GROWATT-MIN7500TL-X2-220V-2MPPT.png,GROWATT ON-GRID 7.5KW - 220V - 2 MPPT - AFCI (MIN7500TL-X2),"R$ 5.038,21"
IIN00310,https://prod-platform-api.s3.amazonaws.com/components/681dee4f2e12924e8007651a/IIN00310.png,SOLIS - 110K-5G-PRO - 380V - 8MPPT,"R$ 47.172,67"
IIN00309,https://prod-platform-api.s3.amazonaws.com/components/681dee4f2e12924e80076519/IIN00309.png,SOLIS - 100K-5G-PRO - 380V - 8MPPT,"R$ 45.370,55"
IIN00347,https://prod-platform-api.s3.amazonaws.com/components/67ea9ff61f900e79abe3b916/IIN00347.png,SOLIS ON-GRID 75KW - 380V - 6 MPPT - AFCI (75K-5G-PRO),"R$ 31.609,88"
IIN00312,https://prod-platform-api.s3.amazonaws.com/components/67e1656fcfccf55357e7942a/IIN00312.png,SOLIS ON-GRID 30KW - 220V - 4 MPPT - AFCI (S5-GC30K-LV),"R$ 20.969,57"
IIN00311,https://prod-platform-api.s3.amazonaws.com/components/67e1656fcfccf55357e79429/IIN00311.png,SOLIS ON-GRID 25KW - 220V - 4 MPPT - AFCI (S5-GC25K-LV),"R$ 18.570,10"
IIN00308,https://prod-platform-api.s3.amazonaws.com/components/67e1656fcfccf55357e79428/IIN00308.png,SOLIS ON-GRID 50KW - 380V - 5 MPPT - AFCI (S5-GC50K),"R$ 20.659,66"
IIN00307,https://prod-platform-api.s3.amazonaws.com/components/67e1656fcfccf55357e79427/IIN00307.png,SOLIS ON-GRID 40KW - 380V - 4 MPPT - AFCI (S5-GC40K),"R$ 17.555,49"
IIN00343,https://prod-platform-api.s3.amazonaws.com/components/67ddb73ef3d04489ac0301a0/IIN00343.png,SOLIS ON-GRID 250KW - 800V - 12 MPPT - (250K-EHV-5G-PLUS),"R$ 84.391,99"
IIN00313,https://prod-platform-api.s3.amazonaws.com/components/67ddb73ef3d04489ac03019f/IIN00313.png,SOLIS ON-GRID 125KW - 600V - 1 MPPT - (125K1-EHV-5G),"R$ 57.384,56"
IIN00322,"https://prod-platform-api.s3.amazonaws.com/components/67d9594a76d2130bb9003087/GROWATT-NEO-2,25.png",GROWATT NEO 2250M - X2 - 2250W - 220V,"R$ 1.932,74"
IIN00344,https://prod-platform-api.s3.amazonaws.com/components/67d8358356a5a649cb66cef8/IIN00344.png,SOLIS ON-GRID 110KW - 380V - 10 MPPT - AFCI (S6-GC110K),"R$ 48.698,97"
IIN00345,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2ac1/IIN00345.png,SOLIS ON-GRID 100KW - 380V - 10 MPPT - AFCI (S6-GC100K),"R$ 46.138,04"
IIN00342,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2ac0/IIN00342%20(1).png,SOLIS ON-GRID 8KW - 220V - 2 MPPT - AFCI (S6-GR1P8K2),"R$ 6.416,77"
IIN00341,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2abf/IIN00341.png,SOLIS ON-GRID 10KW - 220V - 3 MPPT - AFCI (S6-GR1P10K03-NV-ND),"R$ 7.426,40"
IIN00340,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2abe/IIN00340.png,SOLIS ON-GRID 7KW - 220V - 2 MPPT - AFCI (S6-GR1P7K2),"R$ 5.572,59"
IIN00339,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2abd/IIN00339.png,SOLIS ON-GRID 20KW - 220V - 3 MPPT - AFCI (S5-GC20K-LV),"R$ 16.507,46"
IIN00338,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2abc/IIN00338.png,SOLIS ON-GRID 15KW - 220V - 3 MPPT - AFCI (S5-GC15K-LV),"R$ 14.836,90"
IIN00337,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2abb/IIN00337.png,SOLIS ON-GRID 50KW - 220V - 6 MPPT - AFCI (S6-GC50K-LV),"R$ 33.121,28"
IIN00336,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2aba/IIN00336.png,SOLIS ON-GRID 60KW - 220V - 8 MPPT - AFCI (S6-GC60K-LV),"R$ 34.856,65"
IIN00335,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2ab9/IIN00335.png,SOLIS ON-GRID 75KW - 220V - 8 MPPT - AFCI (S6-GC75K-LV),"R$ 40.905,07"
IIN00296,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2ab8/IIN00296.png,SOLIS ON-GRID 37.5KW - 220V - 4 MPPT - AFCI (S5-GC37.5K-LV),"R$ 23.151,90"
IIN00290,https://prod-platform-api.s3.amazonaws.com/components/67d831f583e66579a98c2ab7/IIN00290.png,SOLIS ON-GRID 30KW - 380V - 3 MPPT - AFCI (S5-GC30K),"R$ 14.697,43"
IIN00232,https://prod-platform-api.s3.amazonaws.com/components/67d03ae46d8235c7d26a0333/IIN00232-GROWATT-MAX-75KTL3-XL2-220V-8MPPT.png,GROWATT ON-GRID 75KW - 220V - 8 MPPT - AFCI (MAX75KTL3-XL2),"R$ 36.041,67"
IIN00316,https://prod-platform-api.s3.amazonaws.com/components/67cb2d267e905e34fc09a42c/IIN00316-HUAWEI-SUN2000-100KTL-M2-380V-10MPPT.png,HUAWEI ON-GRID 100KW - 380V - 10 MPPT - AFCI (SUN2000-100KTL-M2),"R$ 34.303,69"
IIN00267,https://prod-platform-api.s3.amazonaws.com/components/67a367e3cbd28e9ff22dad4f/SUNGROW-SG15RT-P2-(AFCI)---380V---2MPPT%201.png,SUNGROW ON-GRID 15KW - 380V - 2 MPPT - AFCI (SG15RT-P2),"R$ 9.656,71"
IIN00224,https://prod-platform-api.s3.amazonaws.com/components/679a4072b7bda88112c6c7c3/IIN00224.png,GROWATT HIBRIDO 10KW - 220V - 3 MPPT - AFCI (SPH10000TL-HU),"R$ 22.812,50"
IIN00319,https://prod-platform-api.s3.amazonaws.com/components/678950349ecacc7047df66f5/IIN00319.png,FOXESS ON-GRID 7.5KW - 220V - 3 MPPT - AFCI (G7.5),"R$ 5.425,58"
