card-title,img-content-orders src,fw-semibold,text-orders-price
ITF00003,https://prod-platform-api.s3.amazonaws.com/components/66966ed99afa5f57231d61a8/icon-318x647.png,TRAFO E-380V S-220V 40KVA,"R$ 13.471,44"
IMS00004,https://prod-platform-api.s3.amazonaws.com/components/66966ed99afa5f57231d61a7/IMS00004.png,CONCERTINA  FIO 3.0MM - ROLO C/ 10MT,"R$ 531,03"
IMS00003,https://prod-platform-api.s3.amazonaws.com/components/66966ed99afa5f57231d61a6/IMS00003.png,"CERCA DE ARAME 1,8MX20M (2.1MMX65X65MM)","R$ 887,95"
ICP00005,https://prod-platform-api.s3.amazonaws.com/components/66966ed99afa5f57231d619e/caixa%20de%20passagem.png,"CAIXA DE PASSAGEM PRFV D 0,8 H 0,8","R$ 864,88"
ITF00005,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c942/ITF00005.png,TRAFO E-380V S-220V 85KVA,"R$ 24.340,04"
ITF00002,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c941/ITF00002.png,TRAFO E-380V S-220V 30KVA,"R$ 11.021,52"
IIN00045,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c792/logo.png,FRONIUS SMART METER 63A-3,"R$ 10,99"
ICV00004,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7ee/ICV00004%20CARREGADOR%20VEICULAR%20FOXESS%20A022KP1-E-2-22KW.png,CARREGADOR VEICULAR FOXESS A022KP1-E-2 - 22KW,"R$ 4.760,19"
ICV00003,"https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7ed/ICV00003%20CARREGADOR%20VEICULAR%20FOXESS%20A7300P1-E-2%20-%207,3%20KW.png","CARREGADOR VEICULAR FOXESS A7300P1-E-2 - 7,3 KW","R$ 2.811,46"
ICV00002,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c7ec/ICV00002%20CARREGADOR%20VEICULAR%20WALLBOX%20GROWATT%20THOR07AS-P%20THO.png,CARREGADOR VEICULAR WALLBOX GROWATT THOR07AS-P THO,"R$ 3.423,66"
