loaded src,title-left,title-right,subtitle,price
https://cdn-ecommerce.solfacil.com.br/contents/products/600105/images/image.jpg,DEYE,SUN-35K-G02-LV,INVERSOR FOTOVOLTAICO SUN-35K-G02-LV EX 35KW DEYE TRI 220V,"R$ 13.228,00"
https://cdn-ecommerce.solfacil.com.br/contents/products/600172/images/image.png,GOODWE,GW3600-ES-BR20 - AFCI,INVERSOR FOTOVOLTAICO GW3600-ES-BR20 - AFCI 3.6KW GOODWE HIBRIDO MONO 220V,"R$ 13.379,98"
https://cdn-ecommerce.solfacil.com.br/contents/products/600232/images/image.jpeg,GOODWE,GW 36K-MT - AFCI,INVERSOR FOTOVOLTAICO GW36K-MT - AFCI EX 36KW GOODWE TRI 380V,"R$ 14.500,08"
https://cdn-ecommerce.solfacil.com.br/contents/products/600350/images/IMAGE_PRODUCT_600350.jpg,GOODWE,GW37K5-SDT-BR30 - AFCI,INVERSOR FOTOVOLTAICO GW37K5-SDT-BR30 - AFCI - EX SUL 37KW GOODWE TRI 380V,"R$ 14.539,73"
https://cdn-ecommerce.solfacil.com.br/contents/products/600303/images/IMAGE_PRODUCT_600303.png,GROWATT,MAC 36KTL3-XL - AFCI,INVERSOR FOTOVOLTAICO MAC 36KTL3-XL - AFCI - NE 36KW GROWATT TRI 220V,"R$ 14.654,45"
,GROWATT,MAC 36KTL3-XL,INVERSOR FOTOVOLTAICO MAC 36KTL3-XL - AFCI - 36KW GROWATT TRI 220V,"R$ 14.654,45"
https://cdn-ecommerce.solfacil.com.br/contents/products/600311/images/IMAGE_PRODUCT_600311.png,GROWATT,MAC 36KTL3-XL - AFCI,INVERSOR FOTOVOLTAICO MAC 36KTL3-XL - AFCI - SUL EX 36KW GROWATT TRI 220V,"R$ 14.654,45"
https://cdn-ecommerce.solfacil.com.br/contents/products/600275/images/IMAGE_PRODUCT_600275.png,GOODWE,GW17KLV-SDT-C30 - AFCI,INVERSOR FOTOVOLTAICO GW17KLV-SDT-C30 - AFCI 17KW GOODWE TRI 220V,"R$ 14.764,55"
,GOODWE,GW6000-ES-BR20 - AFCI,INVERSOR FOTOVOLTAICO (ATIVO) GW6000-ES-BR20 - AFCI 6KW GOODWE HIBRIDO MONO 220V,"R$ 14.768,55"
https://cdn-ecommerce.solfacil.com.br/contents/products/600358/images/IMAGE_PRODUCT_600358.png,GOODWE,GW6000-ES-BR20 - AFCI,INVERSOR FOTOVOLTAICO (ATIVO) GW6000-ES-BR20 - AFCI EX 6KW GOODWE HIBRIDO MONO 220V,"R$ 14.768,55"
https://cdn-ecommerce.solfacil.com.br/contents/products/600361/images/IMAGE_PRODUCT_600361.png,GOODWE,GW3500L-ES-BR20,INVERSOR FOTOVOLTAICO GW3500L-ES-BR20 - AFCI - SUL 3.5KW GOODWE HIBRIDO MONO 127V,"R$ 15.745,08"
https://cdn-ecommerce.solfacil.com.br/contents/products/600266/images/image.png,GOODWE,GW 20KLV-MT - AFCI,INVERSOR FOTOVOLTAICO GW20KLV-MT - AFCI - KIT NE 20KW GOODWE TRI 220V,"R$ 16.404,88"
https://cdn-ecommerce.solfacil.com.br/contents/products/600237/images/image.png,GOODWE,GW 50KS-MT - AFCI,INVERSOR FOTOVOLTAICO GW50KS-MT - AFCI EX 50KW GOODWE TRI 380V,"R$ 17.483,03"
,GOODWE,GW 30KLS-MT,INVERSOR FOTOVOLTAICO GW30KLS-MT EX 30KW GOODWE TRI 220V,"R$ 17.482,70"
https://cdn-ecommerce.solfacil.com.br/contents/products/600352/images/IMAGE_PRODUCT_600352.jpg,GOODWE,GW23KLV-SDT-BR30 - AFCI,INVERSOR FOTOVOLTAICO GW23KLV-SDT-BR30 - AFCI - EX SUL 23KW GOODWE TRI 220V,"R$ 17.628,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/600268/images/IMAGE_PRODUCT_600268.png,GOODWE,GW 30KLS-MT - AFCI,INVERSOR FOTOVOLTAICO GW30KLS-MT - AFCI - NE 30KW GOODWE TRI 220V,"R$ 18.769,08"
https://cdn-ecommerce.solfacil.com.br/contents/products/600243/images/IMAGE_PRODUCT_600243.png,GOODWE,GW 30KLS-MT - AFCI,INVERSOR FOTOVOLTAICO GW30KLS-MT - AFCI EX SUL 30KW GOODWE TRI 220V,"R$ 18.769,08"
https://cdn-ecommerce.solfacil.com.br/contents/products/600483/images/IMAGE_PRODUCT_600483.png,GOODWE,GW 30KLS-MT - AFCI RED,INVERSOR FOTOVOLTAICO GW30KLS-MT - AFCI VERMELHO EX SUL 30KW GOODWE TRI 220V,"R$ 18.769,08"
,GOODWE,GW 60KBF-MT,INVERSOR FOTOVOLTAICO GW60KBF-MT EX 60KW GOODWE TRI 380V,"R$ 19.451,30"
https://cdn-ecommerce.solfacil.com.br/contents/products/600073/images/image.png,GOODWE,GW 60KS-MT,INVERSOR FOTOVOLTAICO GW60KS-MT EX 60KW GOODWE TRI 380V,"R$ 19.451,30"
